dashboard_name,visualization_name,visualization_type,required_measures,required_dimensions,can_be_created,notes_on_gaps,additional_measures_dimensions_needed
Course Performance,Headline KPI - Total Enrolments,Single Value Tile,fct_enrolment.cohort_count; prior_year_college_performance.prior_total_cohort,dim_academic_year.academic_year_name,Yes,Can be created with YoY comparison using fct_enrolment_yoy explore and prior_year_college_performance derived table.,None - fully supported
Course Performance,Headline KPI - Pass Rate,Single Value Tile,fct_enrolment.pass_rate_pct; prior_year_college_performance.prior_college_pass_rate,dim_academic_year.academic_year_name,Yes,Can be created with YoY comparison using derived tables.,None - fully supported
Course Performance,Headline KPI - High Grades,Single Value Tile,fct_enrolment.high_grade_pct; prior_year_college_performance.prior_college_high_grade,dim_academic_year.academic_year_name,Yes,Can be created with YoY comparison using derived tables.,None - fully supported
Course Performance,Headline KPI - Average Grade Points,Single Value Tile,fct_enrolment.avg_grade_points; prior_year_college_performance.prior_college_avg_grade_points,dim_academic_year.academic_year_name,Yes,Can be created. avg_grade_points added to fct_enrolment (via dim_grade join).,None - fully supported
Course Performance,Headline KPI - Completion Rate,Single Value Tile,fct_enrolment.completion_rate_pct; prior_year_college_performance.prior_college_completion_rate,dim_academic_year.academic_year_name,Yes,Can be created. completion_rate_pct measure added to fct_enrolment.,None - fully supported
Course Performance,Headline KPI - Average GCSE on Entry,Single Value Tile,fct_enrolment.avg_gcse_cohort; prior_year_college_performance.prior_college_avg_gcse,dim_academic_year.academic_year_name,Yes,Can be created with YoY comparison using derived tables.,None - fully supported
Course Performance,Headline Outcomes Trend,Line Chart,fct_enrolment.pass_rate_pct; fct_enrolment.high_grade_pct; fct_enrolment.avg_grade_points,dim_academic_year.academic_year_name,Yes,Can be created. All three metrics now available including avg_grade_points.,None - fully supported
Course Performance,Subject Performance Summary,Table,"fct_enrolment.cohort_count; fct_enrolment.grade_a_star_count; fct_enrolment.grade_a_count; fct_enrolment.grade_b_count; fct_enrolment.grade_c_count; fct_enrolment.grade_d_count; fct_enrolment.grade_e_count; fct_enrolment.grade_u_count; fct_enrolment.a_star_to_a_pct; fct_enrolment.a_star_to_b_pct; fct_enrolment.a_star_to_c_pct; fct_enrolment.a_star_to_e_pct; fct_enrolment.pass_rate_pct; fct_enrolment.avg_grade_points","dim_offering.offering_name; dim_offering_type.offering_type_name",Yes,Can be created. a_star_to_e_pct and avg_grade_points now available. YoY indicator available via prior_year_performance join.,vs_prior_year_indicator can be calculated as: pass_rate_pct - prior_pass_rate_pct
Course Performance,Grade Distribution by Subject,Stacked Bar Chart,"fct_enrolment.grade_a_star_count; fct_enrolment.grade_a_count; fct_enrolment.grade_b_count; fct_enrolment.grade_c_count; fct_enrolment.grade_d_count; fct_enrolment.grade_e_count; fct_enrolment.grade_u_count",dim_offering.offering_name; fct_enrolment.grade,Yes,Can be created using grade dimension pivot or stacked measures.,None - fully supported
Course Performance,Outcomes by Prior Attainment Band,Grouped Bar Chart,fct_enrolment.pass_rate_pct; fct_enrolment.high_grade_pct,fct_enrolment.prior_attainment_band; dim_academic_year.academic_year_name,Yes,Can be created with current schema.,None - fully supported
Course Performance,Subject Performance vs Prior Year,Scatter/Bubble Chart,fct_enrolment.pass_rate_pct; fct_enrolment.cohort_count; prior_year_performance.prior_pass_rate_pct,dim_offering.offering_name,Yes,Can be created using fct_enrolment_yoy explore with prior_year_performance join.,None - fully supported with derived table
Course Performance,Year-over-Year Subject Trajectory,Table with Sparklines,"fct_enrolment.cohort_count; fct_enrolment.pass_rate_pct; fct_enrolment.high_grade_pct",dim_offering.offering_name; dim_academic_year.academic_year_name,Partial,Sparklines require Looker visualization config. Data available for 6-year trend by querying all years.,Looker sparkline visualization configuration needed
Equity & Diversity,Gap Summary KPI - Gender Gap,Single Value Tile,fct_enrolment.gender_gap_pass_pp,dim_academic_year.academic_year_name,Yes,Can be created. gender_gap_pass_pp measure added to fct_enrolment.,None - fully supported
Equity & Diversity,Gap Summary KPI - Disadvantage Gap,Single Value Tile,fct_enrolment.disadvantage_gap_pass_pp,dim_academic_year.academic_year_name,Yes,Can be created. disadvantage_gap_pass_pp measure added to fct_enrolment.,None - fully supported
Equity & Diversity,Gap Summary KPI - SEND Gap,Single Value Tile,fct_enrolment.send_gap_pass_pp,dim_academic_year.academic_year_name,Yes,Can be created. send_gap_pass_pp measure added to fct_enrolment.,None - fully supported
